time;data;year;month;su;label;tillage;tillage_d;ov_time;conv;time_conv;cover;crop;x;y;coor1;cood2;state;muni;ID;prof;FCO2;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;0;0;7647673.68;782062.71;SP;Jaboticabal;1;0-0.1;1.08;18.73;NA;5.1;20;46;2.4;25;11;31;38.4;69.4;55;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;40;0;7647673.68;782062.71;SP;Jaboticabal;2;0-0.1;0.825;18.4;NA;5.1;24;26;2.2;30;11;31;43.2;74.2;58;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;80;0;7647673.68;782062.71;SP;Jaboticabal;3;0-0.1;1.95;19.2;NA;5.8;25;46;5.3;41;25;22;71.3;93.3;76;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;10;10;7647673.68;782062.71;SP;Jaboticabal;4;0-0.1;0.534;18.28;NA;5.3;23;78;3.6;27;11;28;41.6;69.6;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;25;10;7647673.68;782062.71;SP;Jaboticabal;5;0-0.1;0.893;18.35;NA;5.5;23;60;3.4;33;15;27;50.6;77.9;65;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;40;10;7647673.68;782062.71;SP;Jaboticabal;6;0-0.1;0.84;18.47;NA;5.7;21;46;2.9;38;20;22;60.9;82.9;73;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;55;10;7647673.68;782062.71;SP;Jaboticabal;7;0-0.1;1.11;19.1;NA;5.6;26;55;4.0;35;16;22;55.0;77.0;71;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;70;10;7647673.68;782062.71;SP;Jaboticabal;8;0-0.1;1.84;18.77;NA;6.4;23;92;2.3;94;65;12;161.3;173.3;93;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;20;20;7647673.68;782062.71;SP;Jaboticabal;9;0-0.1;1.2;19.16;NA;5.3;25;55;3.3;29;11;31;43.3;74.3;58;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;40;20;7647673.68;782062.71;SP;Jaboticabal;10;0-0.1;1.2;18.16;NA;5.8;24;60;3.6;36;17;28;56.6;84.6;67;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;10/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;9;01/01/1970;31;descoberto;milho_soja;60;20;7647673.68;782062.71;SP;Jaboticabal;11;0-0.1;0.66;19.34;NA;5.5;26;48;4.1;37;15;28;56.1;84.1;67;NA;NA;NA;NA;NA;NA;NA;NA;NA
